sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	3.05176E-05	-4
103_2	2	1000	2.00E+05	0.015625	0.000305176	-4
103_3	2	1000	2.00E+05	0.03125	0.000610352	-4
103_4	2	1000	2.00E+05	0.0625	0.001220703	-4
103_5	2	1000	2.00E+05	0.125	0.002441406	-4
103_6	2	1000	2.00E+05	0.25	0.004882813	-4
103_7	2	1000	2.00E+05	0.5	0.009765625	-4
103_8	2	1000	2.00E+05	1	0.01953125	-4
103_9	2	1000	2.00E+05	2	0.0390625	-4
103_10	2	1000	2.00E+05	4	0.078125	-4
103_11	2	1000	2.00E+05	8	0.15625	-4
103_12	2	1000	2.00E+05	16	0.3125	-4
103_1	6	1000	6.00E+05	0.0015625	3.05176E-05	0
103_2	5	1000	5.00E+05	0.015625	0.000305176	0
103_3	8	1000	8.00E+05	0.03125	0.000610352	0
103_4	4	1000	4.00E+05	0.0625	0.001220703	0
103_5	3	1000	3.00E+05	0.125	0.002441406	0
103_6	5	1000	5.00E+05	0.25	0.004882813	0
103_7	5	1000	5.00E+05	0.5	0.009765625	0
103_8	3	1000	3.00E+05	1	0.01953125	0
103_9	4	1000	4.00E+05	2	0.0390625	0
103_10	6	1000	6.00E+05	4	0.078125	0
103_11	5	1000	5.00E+05	8	0.15625	0
103_12	3	1000	3.00E+05	16	0.3125	0
103_1	5	1000	5.00E+05	0.0015625	3.05176E-05	1
103_2	7	1000	7.00E+05	0.015625	0.000305176	1
103_3	6	1000	6.00E+05	0.03125	0.000610352	1
103_4	5	1000	5.00E+05	0.0625	0.001220703	1
103_5	7	1000	7.00E+05	0.125	0.002441406	1
103_6	6	1000	6.00E+05	0.25	0.004882813	1
103_7	5	1000	5.00E+05	0.5	0.009765625	1
103_8	6	1000	6.00E+05	1	0.01953125	1
103_9	7	1000	7.00E+05	2	0.0390625	1
103_10	6	1000	6.00E+05	4	0.078125	1
103_11	6	1000	6.00E+05	8	0.15625	1
103_12	4	1000	4.00E+05	16	0.3125	1
103_1	12	1000	1.20E+06	0.0015625	3.05176E-05	2
103_2	10	1000	1.00E+06	0.015625	0.000305176	2
103_3	15	1000	1.50E+06	0.03125	0.000610352	2
103_4	8	1000	8.00E+05	0.0625	0.001220703	2
103_5	8	1000	8.00E+05	0.125	0.002441406	2
103_6	12	1000	1.20E+06	0.25	0.004882813	2
103_7	8	1000	8.00E+05	0.5	0.009765625	2
103_8	6	1000	6.00E+05	1	0.01953125	2
103_9	4	1000	4.00E+05	2	0.0390625	2
103_10	3	1000	3.00E+05	4	0.078125	2
103_11	11	100	1.10E+05	8	0.15625	2
103_12	29	10	2.90E+04	16	0.3125	2
103_1	20	1000	2.00E+06	0.0015625	3.05176E-05	3
103_2	19	1000	1.90E+06	0.015625	0.000305176	3
103_3	16	1000	1.60E+06	0.03125	0.000610352	3
103_4	18	1000	1.80E+06	0.0625	0.001220703	3
103_5	19	1000	1.90E+06	0.125	0.002441406	3
103_6	10	1000	1.00E+06	0.25	0.004882813	3
103_7	17	1000	1.70E+06	0.5	0.009765625	3
103_8	9	1000	9.00E+05	1	0.01953125	3
103_9	5	1000	5.00E+05	2	0.0390625	3
103_10	3	1000	3.00E+05	4	0.078125	3
103_11	4	100	4.00E+04	8	0.15625	3
103_12	7	10	7.00E+03	16	0.3125	3
103_1	9	10000	9.00E+06	0.0015625	3.05176E-05	4
103_2	5	10000	5.00E+06	0.015625	0.000305176	4
103_3	9	10000	9.00E+06	0.03125	0.000610352	4
103_4	6	10000	6.00E+06	0.0625	0.001220703	4
103_5	4	10000	4.00E+06	0.125	0.002441406	4
103_6	20	1000	2.00E+06	0.25	0.004882813	4
103_7	20	1000	2.00E+06	0.5	0.009765625	4
103_8	4	1000	4.00E+05	1	0.01953125	4
103_9	28	100	2.80E+05	2	0.0390625	4
103_10	4	100	4.00E+04	4	0.078125	4
103_11	12	1	1.20E+03	8	0.15625	4
103_12	0	1	0.00E+00	16	0.3125	4
103_1	21	10000	2.10E+07	0.0015625	3.05176E-05	5
103_2	16	10000	1.60E+07	0.015625	0.000305176	5
103_3	15	10000	1.50E+07	0.03125	0.000610352	5
103_4	14	10000	1.40E+07	0.0625	0.001220703	5
103_5	16	10000	1.60E+07	0.125	0.002441406	5
103_6	14	10000	1.40E+07	0.25	0.004882813	5
103_7	7	10000	7.00E+06	0.5	0.009765625	5
103_8	9	10000	9.00E+06	1	0.01953125	5
103_9	23	100	2.30E+05	2	0.0390625	5
103_10	0	1	0.00E+00	4	0.078125	5
103_11	0	1	0.00E+00	8	0.15625	5
103_12	0	1	0.00E+00	16	0.3125	5
103_1	29	10000	2.90E+07	0.0015625	3.05176E-05	6
103_2	28	10000	2.80E+07	0.015625	0.000305176	6
103_3	26	10000	2.60E+07	0.03125	0.000610352	6
103_4	29	10000	2.90E+07	0.0625	0.001220703	6
103_5	27	10000	2.70E+07	0.125	0.002441406	6
103_6	8	10000	8.00E+06	0.25	0.004882813	6
103_7	15	1000	1.50E+06	0.5	0.009765625	6
103_8	6	1000	6.00E+05	1	0.01953125	6
103_9	31	10	3.10E+04	2	0.0390625	6
103_10	0	1	0.00E+00	4	0.078125	6
103_11	0	1	0.00E+00	8	0.15625	6
103_12	0	1	0.00E+00	16	0.3125	6
